,课程名,专业类别,所属大学,开课次数,开课日期,结课日期,学时安排,持续周数,当前状态,参加人数,课程评价数,授课教师
753,大学美育,艺术设计,华南理工大学,3,2019-03-06,2019-05-15,3.0,11,立即参加,1600,170,苏宏元教授孙珉副教授周可讲师谢勇讲师陈映副教授
754,英美诗歌名篇选读,外语,北京联合大学,5,2019-04-08,2019-07-01,4.0,13,立即参加,1440,21,黄宗英Professor of English教授
755,金融学,经济学,中央财经大学 ,5,2018-09-17,2019-01-31,3.0,20,已结束，查看内容,323503,247,"李健教授左毓秀副教授黄昌利副教授蔡如海副教授李宪铎副教授,证券期货研究所秘书长,中国银行业研究中心秘书长,主要研究人员.贾玉革教授黄志刚副教授孙建华副教授马亚副教授方意副教授鄢莉莉讲师郭田勇中央财经大学金融学院教授、博士生导师董兵兵讲师李建军教授李建军教授"
756,心理健康与创新能力,心理学,电子科技大学,4,2018-10-25,2019-01-12,4.0,12,已结束，查看内容,6619,149,李媛博士   教授心理健康教育中心主任雷霖讲师刘荃职称：副教授；刁静讲师王海星讲师李谷静讲师刘红梅讲师
757,微生物学,理学,厦门大学,4,2018-08-27,2019-01-22,2.5,22,已结束，查看内容,9612,70,郭峰副教授张连茹教授田蕴教授袁晶教授
758,数字逻辑电路,工学,南京理工大学,4,2019-02-25,2019-06-30,3.0,18,立即参加,4016,20,王建新教授蒋立平教授班恬副教授姜萍副教授花汉兵副教授谭雪琴副教授
759,走进地理学,理学,南京大学,6,2019-01-01,2019-03-12,3.0,11,老师已关闭该学期，无法查看,17854,582,李满春教授，国家教学名师，长江学者特聘教授
760,钢结构,工学,河海大学,4,2019-03-15,2019-07-01,4.0,16,立即参加,1595,68,曹平周教授，博导伍凯副教授朱召泉教授伞冰冰副教授韦芳芳副教授
761,计算机网络基础及应用,计算机,南京理工大学,5,2019-02-18,2019-06-01,3.0,15,立即参加,5138,51,丁晟春教授陈芬副教授朱鹏副教授吴鹏教授沈思讲师王曰芬教授
762,物理与人类生活,理学,吉林大学,9,2019-03-04,2019-05-20,2.0,12,立即参加,1050,57,张汉壮教授（博导）
